scenario,metric,point,ci_lower_95,ci_upper_95,bootstrap_iterations_used
full_stratified,macro_f1,0.5533190390562112,0.5467603855413178,0.5599027295844283,500
full_stratified,balanced_accuracy,0.5307547564908731,0.5270649897900792,0.534523306049602,500
full_stratified,average_precision,0.09413019456336955,0.0859630443025408,0.10311204084714626,500
full_stratified,roc_auc,0.6347217764615918,0.6275341390790289,0.6429453534680827,500
full_stratified,positive_precision,0.9083969465648855,0.87302720461803,0.9423868312757202,500
full_stratified,positive_recall,0.061626100466079754,0.054228959443415506,0.06920053801337933,500
full_stratified,top_100_precision,0.99,0.97,1.0,500
full_stratified,top_100_recall,0.02563438632832729,0.024688279301745636,0.02655484257659627,500
full_stratified,top_100_lift,53.759409632314856,51.77527182044887,55.689753657934624,500
full_stratified,top_500_precision,0.524,0.46,0.5911499999999998,500
full_stratified,top_500_recall,0.06784049715173485,0.06006679409473718,0.07590535852343863,500
full_stratified,top_500_lift,28.454475401346453,25.193935580743805,31.837136336202907,500
no_outcome_stratified,macro_f1,0.5292427542832951,0.5239005771010766,0.5346636214661116,500
no_outcome_stratified,balanced_accuracy,0.5175345900983143,0.5146843491392595,0.520463957426508,500
no_outcome_stratified,average_precision,0.0722022683453474,0.06473736276496755,0.07988882503612135,500
no_outcome_stratified,roc_auc,0.6349140983898445,0.6281128434292896,0.6424627444178135,500
no_outcome_stratified,positive_precision,0.8192771084337349,0.7613251466275659,0.877981423709586,500
no_outcome_stratified,positive_recall,0.03521491455204557,0.02950245157141709,0.04107425680093771,500
no_outcome_stratified,top_100_precision,0.88,0.8047500000000001,0.94,500
no_outcome_stratified,top_100_recall,0.02278612118073537,0.020893512642867047,0.02443290618496571,500
no_outcome_stratified,top_100_lift,47.78614189539098,43.81703897411505,51.23971353486269,500
no_outcome_stratified,top_500_precision,0.4,0.348,0.44904999999999995,500
no_outcome_stratified,top_500_recall,0.05178663904712584,0.04544243193354869,0.05831848852901484,500
no_outcome_stratified,top_500_lift,21.720973588814086,19.06001011075219,24.460640280701753,500
full_temporal,macro_f1,0.5391029964229473,0.5327969045399413,0.5443559446720367,500
full_temporal,balanced_accuracy,0.5228141761504729,0.5193813018467309,0.5257245615784875,500
full_temporal,average_precision,0.07876576472219911,0.07066054141539159,0.08647862631823493,500
full_temporal,roc_auc,0.6370166231180179,0.6298578500298976,0.6441469140905639,500
full_temporal,positive_precision,0.9067357512953368,0.8659788570417551,0.9420967190704033,500
full_temporal,positive_recall,0.045715778474399164,0.03884261148211678,0.051534760778077476,500
full_temporal,top_100_precision,1.0,0.99,1.0,500
full_temporal,top_100_recall,0.02612330198537095,0.025266355281511513,0.026918264640875333,500
full_temporal,top_100_lift,54.78474399164054,52.98758964217468,56.451907874258104,500
full_temporal,top_500_precision,0.406,0.35,0.46409999999999996,500
full_temporal,top_500_recall,0.05303030303030303,0.04593456670429003,0.05985199879284786,500
full_temporal,top_500_lift,22.24260606060606,19.266427181913773,25.103843557681763,500
