evidence_family,k,true_positives,false_positives,precision,recall,lift_over_prevalence
traffic_context_only,10,10,0,1.0,0.002589331952356292,54.30243397203521
traffic_context_only,25,25,0,1.0,0.00647332988089073,54.30243397203521
traffic_context_only,50,39,11,0.78,0.01009839461418954,42.355898498187464
traffic_context_only,100,39,61,0.39,0.01009839461418954,21.177949249093732
traffic_context_only,250,44,206,0.176,0.011393060590367685,9.557228379078197
traffic_context_only,500,49,451,0.098,0.012687726566545831,5.321638529259451
traffic_context_only,1000,62,938,0.062,0.01605385810460901,3.366750906266183
volume_only,10,10,0,1.0,0.002589331952356292,54.30243397203521
volume_only,25,22,3,0.88,0.005696530295183843,47.78614189539098
volume_only,50,46,4,0.92,0.011910926980838944,49.9582392542724
volume_only,100,87,13,0.87,0.02252718798549974,47.243117555670636
volume_only,250,159,91,0.636,0.041170378042465046,34.536348006214396
volume_only,500,175,325,0.35,0.04531330916623511,19.005851890212323
volume_only,1000,204,796,0.204,0.05282237182806836,11.077696530295183
policy_action_only,10,0,10,0.0,0.0,0.0
policy_action_only,25,2,23,0.08,0.0005178663904712584,4.344194717762817
policy_action_only,50,9,41,0.18,0.002330398757120663,9.774438114966339
policy_action_only,100,12,88,0.12,0.0031071983428275505,6.516292076644225
policy_action_only,250,34,216,0.136,0.008803728638011392,7.3851310201967895
policy_action_only,500,66,434,0.132,0.017089590885551526,7.167921284308648
policy_action_only,1000,140,860,0.14,0.03625064733298809,7.6023407560849305
context_plus_volume,10,10,0,1.0,0.002589331952356292,54.30243397203521
context_plus_volume,25,24,1,0.96,0.006214396685655101,52.1303366131538
context_plus_volume,50,46,4,0.92,0.011910926980838944,49.9582392542724
context_plus_volume,100,87,13,0.87,0.02252718798549974,47.243117555670636
context_plus_volume,250,168,82,0.672,0.04350077679958571,36.491235629207665
context_plus_volume,500,201,299,0.402,0.05204557224236147,21.829578456758156
context_plus_volume,1000,225,775,0.225,0.05825996892801657,12.218047643707923
context_plus_policy_action,10,10,0,1.0,0.002589331952356292,54.30243397203521
context_plus_policy_action,25,24,1,0.96,0.006214396685655101,52.1303366131538
context_plus_policy_action,50,48,2,0.96,0.012428793371310202,52.1303366131538
context_plus_policy_action,100,58,42,0.58,0.015018125323666495,31.49541170378042
context_plus_policy_action,250,93,157,0.372,0.024080787156913516,20.200505437597098
context_plus_policy_action,500,143,357,0.286,0.03702744691869498,15.53049611600207
context_plus_policy_action,1000,230,770,0.23,0.05955463490419472,12.4895598135681
full_core,10,10,0,1.0,0.002589331952356292,54.30243397203521
full_core,25,25,0,1.0,0.00647332988089073,54.30243397203521
full_core,50,50,0,1.0,0.01294665976178146,54.30243397203521
full_core,100,100,0,1.0,0.02589331952356292,54.30243397203521
full_core,250,234,16,0.936,0.06059036768513724,50.82707819782496
full_core,500,263,237,0.526,0.06809943034697048,28.563080269290523
full_core,1000,276,724,0.276,0.07146556188503367,14.98747177628172
