field,train_defined_stratum,test_rows,test_positives,test_prevalence
Elapsed Time (sec),1,190647,64,0.0003356989619558661
Elapsed Time (sec),2,19179,136,0.007091089212159132
Bytes,1,19440,0,0.0
Bytes,2,26655,0,0.0
Bytes,3,19568,0,0.0
Bytes,4,19426,18,0.000926593225573973
Bytes,5,20147,20,0.0009927036283317616
Bytes,6,20911,104,0.004973458945052843
Bytes,7,22120,33,0.0014918625678119349
Bytes,8,20054,5,0.00024932681759250023
Bytes,9,21761,9,0.0004135839345618308
Bytes,10,19744,11,0.000557131280388979
Packets,1,53005,0,0.0
Packets,2,66537,100,0.001502923185595984
Packets,3,27704,54,0.0019491770141495813
Packets,4,22363,31,0.0013862183070249966
Packets,5,20375,1,4.907975460122699e-05
Packets,6,19842,14,0.0007055740348755166
