macro_f1,average_precision,balanced_accuracy,pos_recall,top100,top500,seed
0.5540075881477153,0.0939321226046561,0.5311431562837265,0.06240290005178664,0.99,0.522,42
0.5519240548899197,0.09461467134662094,0.5299755279992426,0.06007250129466598,1.0,0.53,7
0.5512473996535069,0.09148956651546662,0.5295895571123128,0.059295701708959085,1.0,0.502,123
0.5516114103629904,0.09333261590876228,0.5297408838632431,0.05955463490419472,0.99,0.514,1
0.550005854078622,0.09253993163233862,0.528927650688682,0.05800103573278094,1.0,0.5,2
0.55235445213977,0.09367462643014814,0.5302296033826309,0.06059036768513724,1.0,0.51,3
0.5543140496133031,0.09725765060210975,0.5312847674109624,0.06266183324702226,1.0,0.538,5
0.5473096061130058,0.08669011824813604,0.5273886249528099,0.05489383738995339,0.99,0.468,11
0.5514336844985543,0.09279592365141923,0.5297117369921597,0.05955463490419472,1.0,0.502,17
0.5523844253480158,0.09424555384890125,0.5302344611944783,0.06059036768513724,1.0,0.524,23
