feature,importance
Packets,0.2094199
Outbound Interface,0.172227
Risk of app,0.10517957
Destination Zone,0.073058665
Source Zone,0.06672092
Bytes Received,0.059955012
Application,0.026155742
Category of app,0.02488999
Destination Port,0.022596754
Bytes,0.020597167
SaaS of app,0.02045634
Subcategory of app,0.020161808
Technology of app,0.019708106
Destination Country,0.019222064
Packets Sent,0.018816998
IP Protocol,0.01757916
Packets Received,0.017544512
Elapsed Time (sec),0.016491057
Category,0.016210865
Source Country,0.014805927
Bytes Sent,0.01440601
Source Port,0.012046988
Inbound Interface,0.011749427
AI Traffic,0.0
