scenario,budget,reviewed_sessions,review_share,true_positives,false_positives,precision,recall,lift_over_prevalence
xgboost_full_stratified,top_100,100,0.00047683533922066035,99,1,0.99,0.02563438632832729,53.759409632314856
xgboost_full_stratified,top_250,250,0.0011920883480516509,233,17,0.932,0.06033143448990161,50.60986846193682
xgboost_full_stratified,top_500,500,0.0023841766961033017,261,239,0.522,0.06758156395649922,28.345870533402383
xgboost_full_stratified,top_1000,1000,0.0047683533922066035,273,727,0.273,0.07068876229932677,14.824564474365614
xgboost_full_stratified,top_0.1pct,210,0.0010013542123633867,207,3,0.9857142857142858,0.053599171413775244,53.52668491529185
xgboost_full_stratified,top_0.5pct,1049,0.005002002708424727,273,776,0.26024785510009535,0.07068876229932677,14.132091967936715
xgboost_full_stratified,top_1pct,2097,0.009999237063457247,296,1801,0.14115402956604672,0.07664422578974625,7.665007370396959
xgboost_full_stratified,top_2pct,4194,0.019998474126914495,334,3860,0.07963757749165475,0.08648368720870016,4.3245142934334195
xgboost_no_outcome_stratified,top_100,100,0.00047683533922066035,89,11,0.89,0.023045054375971,48.32916623511134
xgboost_no_outcome_stratified,top_250,250,0.0011920883480516509,168,82,0.672,0.04350077679958571,36.491235629207665
xgboost_no_outcome_stratified,top_500,500,0.0023841766961033017,202,298,0.404,0.0523045054375971,21.938183324702226
xgboost_no_outcome_stratified,top_1000,1000,0.0047683533922066035,219,781,0.219,0.056706369756602794,11.89223303987571
xgboost_no_outcome_stratified,top_0.1pct,210,0.0010013542123633867,152,58,0.7238095238095238,0.03935784567581564,39.30461887499691
xgboost_no_outcome_stratified,top_0.5pct,1049,0.005002002708424727,221,828,0.21067683508102955,0.05722423614707405,11.440264926424959
xgboost_no_outcome_stratified,top_1pct,2097,0.009999237063457247,249,1848,0.11874105865522175,0.06447436561367167,6.447928497394739
xgboost_no_outcome_stratified,top_2pct,4194,0.019998474126914495,315,3879,0.07510729613733906,0.0815639564992232,4.078508989315949
xgboost_full_temporal_holdout,top_100,100,0.00047683533922066035,100,0,1.0,0.02612330198537095,54.78474399164054
xgboost_full_temporal_holdout,top_250,250,0.0011920883480516509,196,54,0.784,0.051201671891327065,42.951239289446185
xgboost_full_temporal_holdout,top_500,500,0.0023841766961033017,198,302,0.396,0.05172413793103448,21.694758620689655
xgboost_full_temporal_holdout,top_1000,1000,0.0047683533922066035,211,789,0.211,0.05512016718913271,11.559580982236154
xgboost_full_temporal_holdout,top_0.1pct,210,0.0010013542123633867,185,25,0.8809523809523809,0.04832810867293626,48.26275065930238
xgboost_full_temporal_holdout,top_0.5pct,1049,0.005002002708424727,212,837,0.2020972354623451,0.055381400208986416,11.071845306222874
xgboost_full_temporal_holdout,top_1pct,2097,0.009999237063457247,234,1863,0.11158798283261803,0.061128526645768025,6.113319072028559
xgboost_full_temporal_holdout,top_2pct,4194,0.019998474126914495,277,3917,0.06604673342870768,0.07236154649947753,3.618353382375877
